indicators_code,frequency,factor_version
S0029752,daily,V1.0
S0029756,daily,V1.0
S0029760,daily,V1.0
S0029764,daily,V1.0
S0029768,daily,V1.0
CCI1Y00D,daily,V1.0
S0029772,daily,V1.0
S0031645,daily,V1.0
S0048259,daily,V1.0
S0048261,daily,V1.0
S0048274,daily,V1.0
S0048276,daily,V1.0
S0059736,daily,V1.0
S0059739,daily,V1.0
S0059741,daily,V1.0
S0059742,daily,V1.0
S0059744,daily,V1.0
S0059745,daily,V1.0
S0059746,daily,V1.0
S0059747,daily,V1.0
S0059748,daily,V1.0
S0059749,daily,V1.0
S0059750,daily,V1.0
S0059751,daily,V1.0
S0059752,daily,V1.0
CCI5Y00D,daily,V1.0
S0059761,daily,V1.0
S0059762,daily,V1.0
S0059763,daily,V1.0
S0059764,daily,V1.0
S0059765,daily,V1.0
S0059766,daily,V1.0
S0059767,daily,V1.0
S0059768,daily,V1.0
S0059769,daily,V1.0
S0059771,daily,V1.0
S0059772,daily,V1.0
S0059773,daily,V1.0
S0059774,daily,V1.0
S0059775,daily,V1.0
S0059776,daily,V1.0
S0059777,daily,V1.0
S0059778,daily,V1.0
S0059779,daily,V1.0
S0059833,daily,V1.0
S0059836,daily,V1.0
CCIT10YD,daily,V1.0
S0059838,daily,V1.0
S0069669,daily,V1.0
S0069670,daily,V1.0
S0105896,daily,V1.0
S0105897,daily,V1.0
S0106912,daily,V1.0
CCIT1Y0D,daily,V1.0
S0142908,daily,V1.0
S0142909,daily,V1.0
S0167430,daily,V1.0
ALSHF01C,daily,V1.0
S0203228,daily,V1.0
S0203230,daily,V1.0
S0203233,daily,V1.0
CCIT5Y0D,daily,V1.0
S0260036,daily,V1.0
S1179664,daily,V1.0
S1180497,daily,V1.0
S2707331,daily,V1.0
CLNYM01S,daily,V1.0
S2707332,daily,V1.0
S2707333,daily,V1.0
S2707334,daily,V1.0
S2707337,daily,V1.0
S2707338,daily,V1.0
S2707339,daily,V1.0
S2707340,daily,V1.0
S2707341,daily,V1.0
S2707342,daily,V1.0
S2707379,daily,V1.0
CM210001,daily,V1.0
S2707380,daily,V1.0
S2707381,daily,V1.0
S2707382,daily,V1.0
S2707383,daily,V1.0
S2707384,daily,V1.0
S2707385,daily,V1.0
S2707386,daily,V1.0
CM210002,daily,V1.0
CM210003,daily,V1.0
CP126001,daily,V1.0
S5005793,daily,V1.0
S5005830,daily,V1.0
S5005835,daily,V1.0
S5005865,daily,V1.0
S5005883,daily,V1.0
S5005958,daily,V1.0
CP126002,daily,V1.0
S5005984,daily,V1.0
S5006004,daily,V1.0
S5006011,daily,V1.0
S5022128,daily,V1.0
CP126003,daily,V1.0
S5120155,daily,V1.0
ATR10Y0D,daily,V1.0
CSI26901,daily,V1.0
S5416996,daily,V1.0
S5431473,daily,V1.0
S5431564,daily,V1.0
S5439944,daily,V1.0
CSI39501,daily,V1.0
S5443778,daily,V1.0
S5446170,daily,V1.0
S5448958,daily,V1.0
CSI64301,daily,V1.0
S5470298,daily,V1.0
S5470300,daily,V1.0
CSI90401,daily,V1.0
S5470301,daily,V1.0
S5470302,daily,V1.0
S5470303,daily,V1.0
S5470304,daily,V1.0
S5470305,daily,V1.0
S5470306,daily,V1.0
S5470308,daily,V1.0
S5470310,daily,V1.0
S5470311,daily,V1.0
S5470312,daily,V1.0
S5470313,daily,V1.0
S5470314,daily,V1.0
S5470316,daily,V1.0
S5470318,daily,V1.0
S5470319,daily,V1.0
S5470325,daily,V1.0
S5470326,daily,V1.0
S5470327,daily,V1.0
S5470329,daily,V1.0
S5470330,daily,V1.0
S5470331,daily,V1.0
S5470332,daily,V1.0
S5470333,daily,V1.0
S5470335,daily,V1.0
S5470336,daily,V1.0
S5470337,daily,V1.0
S5470339,daily,V1.0
S5470342,daily,V1.0
S5470347,daily,V1.0
S5470349,daily,V1.0
CSI93201,daily,V1.0
S5470354,daily,V1.0
S5470358,daily,V1.0
S5470364,daily,V1.0
S5470393,daily,V1.0
S5470395,daily,V1.0
S5470397,daily,V1.0
S5470402,daily,V1.0
S5470405,daily,V1.0
S5470409,daily,V1.0
S5470411,daily,V1.0
S5470414,daily,V1.0
S5470420,daily,V1.0
S5470426,daily,V1.0
S5470428,daily,V1.0
S5470432,daily,V1.0
S5470433,daily,V1.0
S5470434,daily,V1.0
S5470435,daily,V1.0
S5470439,daily,V1.0
S5470444,daily,V1.0
S5470445,daily,V1.0
S5470446,daily,V1.0
S5470449,daily,V1.0
S5470451,daily,V1.0
S5470454,daily,V1.0
S5470455,daily,V1.0
S5470457,daily,V1.0
S5474437,daily,V1.0
CSI98501,daily,V1.0
S5474438,daily,V1.0
S5474439,daily,V1.0
S5474440,daily,V1.0
S5474441,daily,V1.0
S5474442,daily,V1.0
S5474444,daily,V1.0
S5475188,daily,V1.0
S5475208,daily,V1.0
S5707798,daily,V1.0
S5707804,daily,V1.0
S5708254,daily,V1.0
CUSHF01C,daily,V1.0
S5714971,daily,V1.0
S5714972,daily,V1.0
CV630001,daily,V1.0
S5801706,daily,V1.0
S5801707,daily,V1.0
S5801709,daily,V1.0
S5801720,daily,V1.0
S5801724,daily,V1.0
S5801780,daily,V1.0
CV630002,daily,V1.0
S5811332,daily,V1.0
S5811336,daily,V1.0
S5811337,daily,V1.0
S5811575,daily,V1.0
S5811582,daily,V1.0
S5811586,daily,V1.0
S5811587,daily,V1.0
S5811590,daily,V1.0
S5814929,daily,V1.0
CV630003,daily,V1.0
S5814932,daily,V1.0
S5814945,daily,V1.0
S5814964,daily,V1.0
S5814966,daily,V1.0
S5814967,daily,V1.0
S5814970,daily,V1.0
ATR1Y00D,daily,V1.0
CV630004,daily,V1.0
CZ630001,daily,V1.0
S6949588,daily,V1.0
SBW21001,daily,V1.0
SEMAC001,daily,V1.0
SEMAC002,daily,V1.0
SEMAC003,daily,V1.0
SEMAC004,daily,V1.0
SFCZC01C,daily,V1.0
CZ630002,daily,V1.0
SH000300,daily,V1.0
SH001501,daily,V1.0
SH001701,daily,V1.0
SH004701,daily,V1.0
SH013201,daily,V1.0
CZ630003,daily,V1.0
SH013301,daily,V1.0
SH069801,daily,V1.0
SH069901,daily,V1.0
D10Y000D,daily,V1.0
SH090601,daily,V1.0
SI801010,daily,V1.0
SI801030,daily,V1.0
SI801040,daily,V1.0
SI801050,daily,V1.0
SI801080,daily,V1.0
SI801110,daily,V1.0
SI801120,daily,V1.0
SI801130,daily,V1.0
SI801140,daily,V1.0
SI801150,daily,V1.0
SI801160,daily,V1.0
SI801170,daily,V1.0
SI801180,daily,V1.0
SI801200,daily,V1.0
SI801210,daily,V1.0
SI801230,daily,V1.0
SI801710,daily,V1.0
SI801720,daily,V1.0
SI801730,daily,V1.0
D1Y0000D,daily,V1.0
SI801740,daily,V1.0
SI801750,daily,V1.0
SI801760,daily,V1.0
SI801770,daily,V1.0
SI801780,daily,V1.0
SI801790,daily,V1.0
SI801880,daily,V1.0
SI801890,daily,V1.0
SI801950,daily,V1.0
SI801960,daily,V1.0
SI801970,daily,V1.0
SI801980,daily,V1.0
SMACD001,daily,V1.0
SMACD002,daily,V1.0
SMACD003,daily,V1.0
SMACD004,daily,V1.0
SMACD005,daily,V1.0
SMACDS01,daily,V1.0
SMACDS02,daily,V1.0
SMACDS03,daily,V1.0
D5Y0000D,daily,V1.0
SMACDS04,daily,V1.0
SMACDS05,daily,V1.0
SMACDS06,daily,V1.0
SMACDS07,daily,V1.0
SMCZC01C,daily,V1.0
SNSHF01C,daily,V1.0
SRSI1401,daily,V1.0
SRSI1402,daily,V1.0
SSSHF00C,daily,V1.0
SX5EDF0C,daily,V1.0
T3247774,daily,V1.0
TB0YWI00,daily,V1.0
TB0YWI0C,daily,V1.0
TB0YWI0H,daily,V1.0
TB0YWI0L,daily,V1.0
TB0YWI0V,daily,V1.0
TB0YWI0W,daily,V1.0
AGUIDC1C,daily,V1.0
AUUIDC1C,daily,V1.0
SX5EDF1C,daily,V1.0
CSI26904,daily,V1.0
S0114089,weekly,V1.0
N1355677,weekly,V1.0
ATR1Y00W,weekly,V1.0
TB0YWI10,weekly,V1.0
TB0YWI1C,weekly,V1.0
TB0YWI1H,weekly,V1.0
TB0YWI1L,weekly,V1.0
TB0YWI1V,weekly,V1.0
TB0YWI1W,weekly,V1.0
TB0YWI20,weekly,V1.0
TB0YWI2C,weekly,V1.0
DEA10Y0W,weekly,V1.0
TB0YWI2H,weekly,V1.0
TB0YWI2L,weekly,V1.0
TB0YWI2V,weekly,V1.0
TB0YWI2W,weekly,V1.0
TB1YWI10,weekly,V1.0
TB1YWI1C,weekly,V1.0
TB1YWI1H,weekly,V1.0
TB1YWI1L,weekly,V1.0
TB1YWI1V,weekly,V1.0
TB1YWI1W,weekly,V1.0
TB1YWI20,weekly,V1.0
DEA1Y00W,weekly,V1.0
TB1YWI2C,weekly,V1.0
TB1YWI2H,weekly,V1.0
TB1YWI2L,weekly,V1.0
TB1YWI2V,weekly,V1.0
TB1YWI2W,weekly,V1.0
TB5YWI10,weekly,V1.0
TB5YWI1C,weekly,V1.0
TB5YWI1H,weekly,V1.0
TB5YWI1L,weekly,V1.0
TB5YWI1V,weekly,V1.0
DEA5Y00W,weekly,V1.0
TB5YWI1W,weekly,V1.0
TB5YWI20,weekly,V1.0
TB5YWI2C,weekly,V1.0
TB5YWI2H,weekly,V1.0
TB5YWI2L,weekly,V1.0
TB5YWI2V,weekly,V1.0
TB5YWI2W,weekly,V1.0
TCFE0010,weekly,V1.0
TCFE001A,weekly,V1.0
DIF10Y0W,weekly,V1.0
TCFE001C,weekly,V1.0
TCFE001H,weekly,V1.0
TCFE001L,weekly,V1.0
TCFE001S,weekly,V1.0
TCFE001V,weekly,V1.0
TCFE0020,weekly,V1.0
TCFE002A,weekly,V1.0
TCFE002C,weekly,V1.0
TCFE002H,weekly,V1.0
TCFE002L,weekly,V1.0
TCFE002S,weekly,V1.0
TCFE002V,weekly,V1.0
DIF1Y00W,weekly,V1.0
TCFE010I,weekly,V1.0
TCFE01VR,weekly,V1.0
TCFE020I,weekly,V1.0
TCFE02VR,weekly,V1.0
TCFE02WR,weekly,V1.0
TCFE03WR,weekly,V1.0
DIF5Y00W,weekly,V1.0
TCFE10BV,weekly,V1.0
TCFE1MA4,weekly,V1.0
TCFE1MA8,weekly,V1.0
TCFE20BV,weekly,V1.0
TCFE2MA4,weekly,V1.0
TCFE2MA8,weekly,V1.0
V0135838,weekly,V1.0
V0184553,weekly,V1.0
W0192843,weekly,V1.0
X0100205,weekly,V1.0
Y0110594,weekly,V1.0
ATR5Y00W,weekly,V1.0
HWW00001,weekly,V1.0
HWW00002,weekly,V1.0
HWW00003,weekly,V1.0
HWW00004,weekly,V1.0
HWW00005,weekly,V1.0
HWW00006,weekly,V1.0
HWW00007,weekly,V1.0
HWW00008,weekly,V1.0
HWW00009,weekly,V1.0
HWW00010,weekly,V1.0
HWW00011,weekly,V1.0
HWW00012,weekly,V1.0
HWC00001,weekly,V1.0
HWC00002,weekly,V1.0
HWC00003,weekly,V1.0
HWL00001,weekly,V1.0
EMA120YW,weekly,V1.0
HWM00001,weekly,V1.0
HWM00002,weekly,V1.0
HWM00003,weekly,V1.0
HWM00004,weekly,V1.0
HWM00005,weekly,V1.0
HWM00006,weekly,V1.0
HWM00007,weekly,V1.0
HWM00008,weekly,V1.0
HWM00009,weekly,V1.0
HWM00012,weekly,V1.0
HWM00013,weekly,V1.0
HWM00014,weekly,V1.0
HWM00015,weekly,V1.0
HWM00016,weekly,V1.0
HWM00017,weekly,V1.0
HWM00018,weekly,V1.0
HWM00019,weekly,V1.0
EMA121YW,weekly,V1.0
HWM00020,weekly,V1.0
HWM00021,weekly,V1.0
HWR00001,weekly,V1.0
HWS00001,weekly,V1.0
HWS00002,weekly,V1.0
HWS00003,weekly,V1.0
HWS00004,weekly,V1.0
HWS00005,weekly,V1.0
HWS00006,weekly,V1.0
EMA125YW,weekly,V1.0
EMA260YW,weekly,V1.0
EMA261YW,weekly,V1.0
EMA265YW,weekly,V1.0
ZA000001,weekly,V1.0
ZA000002,weekly,V1.0
ZA000003,weekly,V1.0
ZY000001,weekly,V1.0
ZY000002,weekly,V1.0
ZY000003,weekly,V1.0
ZY000004,weekly,V1.0
ZY000005,weekly,V1.0
ZY000006,weekly,V1.0
ZY000007,weekly,V1.0
ZY000008,weekly,V1.0
ATRH1Y0W,weekly,V1.0
ZY000009,weekly,V1.0
ZY000010,weekly,V1.0
ZY000011,weekly,V1.0
ZY000012,weekly,V1.0
ZY000013,weekly,V1.0
ZY000014,weekly,V1.0
ZY000015,weekly,V1.0
ZY000016,weekly,V1.0
ZY000017,weekly,V1.0
ZY000018,weekly,V1.0
ZY000019,weekly,V1.0
ZY000020,weekly,V1.0
ZY000021,weekly,V1.0
ZY000022,weekly,V1.0
ZY000023,weekly,V1.0
ZY000024,weekly,V1.0
ZY000025,weekly,V1.0
ZY000026,weekly,V1.0
ZY000027,weekly,V1.0
ZY000028,weekly,V1.0
ZY000029,weekly,V1.0
ZY000030,weekly,V1.0
ZY000031,weekly,V1.0
ZY000032,weekly,V1.0
ZY000033,weekly,V1.0
ZY000034,weekly,V1.0
ZY000035,weekly,V1.0
ZY000036,weekly,V1.0
ZY000037,weekly,V1.0
ZY000038,weekly,V1.0
ZY000039,weekly,V1.0
ZY000040,weekly,V1.0
ZY000041,weekly,V1.0
ZY000042,weekly,V1.0
ZY000043,weekly,V1.0
ZY000044,weekly,V1.0
ZY000045,weekly,V1.0
ZY000046,weekly,V1.0
ZY000047,weekly,V1.0
ZY000048,weekly,V1.0
ZY000054,weekly,V1.0
ZY000055,weekly,V1.0
ZY000056,weekly,V1.0
ZY000057,weekly,V1.0
ZY000058,weekly,V1.0
ZY000059,weekly,V1.0
ZY000060,weekly,V1.0
ZY000061,weekly,V1.0
ZY000062,weekly,V1.0
ZY000063,weekly,V1.0
ZY000064,weekly,V1.0
ZY000065,weekly,V1.0
ZY000066,weekly,V1.0
ZY000067,weekly,V1.0
ZY000068,weekly,V1.0
ZY000069,weekly,V1.0
ZY000070,weekly,V1.0
ZY000071,weekly,V1.0
ZY000072,weekly,V1.0
ZY000073,weekly,V1.0
ZY000074,weekly,V1.0
ZY000075,weekly,V1.0
ZY000076,weekly,V1.0
ZY000077,weekly,V1.0
ZY000078,weekly,V1.0
ZY000079,weekly,V1.0
ZY000124,weekly,V1.0
ZY000125,weekly,V1.0
